CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Ratio_Balance_Salary,Ratio_Balance_Age,Ratio_Salary_Age,Engagement_Score,Ratio_Products_Age,Relative_Salary,Ratio_CreditScore_Age,Zero_Balance_HasCrCard,Low_Balance_Active,Active_HasCrCard,Log_Salary
683.0,Germany,Male,49.0,7.0,123837.86,2.0,1.0,1.0,138700.75,1,0.8928420358217242,2527.3032653061223,2830.627551020408,4.0,0.04081632653061224,1.1616792729092444,13.938775510204081,False,False,1.0,11.840081223382663
608.0,France,Female,30.0,10.0,0.0,2.0,1.0,1.0,146723.72,0,0.0,0.0,4890.790666666667,4.0,0.06666666666666667,1.2485905218739162,20.266666666666666,True,True,1.0,11.8963134570928
539.0,France,Female,32.0,8.0,0.0,1.0,1.0,1.0,94873.6,0,0.0,0.0,2964.8,3.0,0.03125,0.8073560139836775,16.84375,True,True,1.0,11.460311298615261
530.0,Spain,Female,39.0,8.0,0.0,2.0,0.0,0.0,177896.93,0,0.0,0.0,4561.459743589743,2.0,0.05128205128205128,1.511382358788704,13.58974358974359,False,False,0.0,12.08896523783581
613.0,France,Female,45.0,10.0,0.0,2.0,1.0,1.0,116748.14,0,0.0,0.0,2594.4031111111112,4.0,0.044444444444444446,0.9935041249663588,13.622222222222222,True,True,1.0,11.66778280933699
656.0,France,Male,33.0,7.0,98899.76,1.0,1.0,0.0,123597.93,0,0.8001732715102915,2996.9624242424243,3745.391818181818,2.0,0.030303030303030304,1.0517945150329868,19.87878787878788,False,False,0.0,11.724797167010326
758.0,Spain,Female,40.0,10.0,0.0,2.0,0.0,1.0,158043.11,0,0.0,0.0,3951.0777499999995,3.0,0.05,1.3427076475243425,18.95,False,True,0.0,11.970629450261587
549.0,France,Male,53.0,8.0,0.0,1.0,0.0,0.0,80181.19,1,0.0,0.0,1512.852641509434,1.0,0.018867924528301886,0.6823264422860301,10.358490566037736,False,False,0.0,11.292056699368015
704.0,Spain,Female,49.0,9.0,80793.58,1.0,1.0,0.0,101371.72,0,0.7970031484125948,1648.8485714285714,2068.810612244898,2.0,0.02040816326530612,0.8612370617529379,14.36734693877551,False,False,0.0,11.526559300412636
681.0,Germany,Male,34.0,9.0,117799.28,2.0,1.0,1.0,120736.04,0,0.975676194117349,3464.684705882353,3551.06,4.0,0.058823529411764705,1.0112169916971714,20.029411764705884,False,False,1.0,11.701370236562083
683.0,Spain,Female,46.0,3.0,0.0,2.0,1.0,1.0,98810.78,0,0.0,0.0,2148.060434782609,4.0,0.043478260869565216,0.8394797467845663,14.847826086956522,True,True,1.0,11.500972107397766
686.0,France,Male,53.0,10.0,0.0,1.0,0.0,0.0,86460.28,1,0.0,0.0,1631.326037735849,1.0,0.018867924528301886,0.7357602855664028,12.943396226415095,False,False,0.0,11.367451962645925
689.0,France,Male,32.0,6.0,0.0,1.0,1.0,1.0,141453.62,0,0.0,0.0,4420.425625,3.0,0.03125,1.203742988637111,21.53125,True,True,1.0,11.859734237914253
744.0,Germany,Female,38.0,8.0,132906.88,2.0,1.0,1.0,141756.32,0,0.937572871530525,3497.5494736842106,3730.4294736842107,4.0,0.05263157894736842,1.187271004287217,19.57894736842105,False,False,1.0,11.861871860468328
717.0,Spain,Male,47.0,0.0,109733.4,1.0,1.0,1.0,172363.41,0,0.6366397601439887,2334.7531914893616,3667.306595744681,3.0,0.02127659574468085,1.4643705047336373,15.25531914893617,False,False,1.0,12.057366177385285
708.0,France,Male,38.0,5.0,141675.23,2.0,1.0,1.0,52327.57,0,2.7074681663987072,3728.2955263157896,1377.0413157894736,4.0,0.05263157894736842,0.44529751518496047,18.63157894736842,False,False,1.0,10.865297772411564
724.0,France,Male,47.0,1.0,0.0,2.0,1.0,0.0,141863.77,0,0.0,0.0,3018.378085106383,3.0,0.0425531914893617,1.2072332859288275,15.404255319148936,True,False,0.0,11.86262955889119
775.0,France,Male,38.0,3.0,0.0,1.0,1.0,1.0,131768.98,0,0.0,0.0,3467.6047368421055,3.0,0.02631578947368421,1.1213285725375124,20.394736842105264,True,True,1.0,11.78881310575967
